Province/State,Confirmed,Deaths,Recovered,Date
Alaska,0,0,0,2020-03-10
Arizona,6,0,1,2020-03-10
Arkansas,0,0,0,2020-03-10
California,144,2,2,2020-03-10
Colorado,15,0,0,2020-03-10
Connecticut,2,0,0,2020-03-10
Delaware,0,0,0,2020-03-10
District of Columbia,5,0,0,2020-03-10
Florida,15,2,0,2020-03-10
Georgia,17,0,0,2020-03-10
Hawaii,2,0,0,2020-03-10
Idaho,0,0,0,2020-03-10
Illinois,12,0,2,2020-03-10
Indiana,6,0,0,2020-03-10
Iowa,8,0,0,2020-03-10
Kansas,1,0,0,2020-03-10
Kentucky,6,0,0,2020-03-10
Louisiana,1,0,0,2020-03-10
Maine,0,0,0,2020-03-10
Maryland,8,0,0,2020-03-10
Massachusetts,92,0,1,2020-03-10
Michigan,0,0,0,2020-03-10
Minnesota,3,0,0,2020-03-10
Mississippi,0,0,0,2020-03-10
Missouri,1,0,0,2020-03-10
Montana,0,0,0,2020-03-10
Nebraska,3,0,0,2020-03-10
Nevada,4,0,0,2020-03-10
New Hampshire,4,0,0,2020-03-10
New Jersey,15,1,0,2020-03-10
New Mexico,0,0,0,2020-03-10
New York,173,0,0,2020-03-10
North Carolina,7,0,0,2020-03-10
North Dakota,0,0,0,2020-03-10
Ohio,3,0,0,2020-03-10
Oklahoma,2,0,0,2020-03-10
Oregon,15,0,0,2020-03-10
Pennsylvania,12,0,0,2020-03-10
Rhode Island,3,0,0,2020-03-10
South Carolina,7,0,0,2020-03-10
South Dakota,0,0,0,2020-03-10
Tennessee,7,0,0,2020-03-10
Texas,13,0,0,2020-03-10
Utah,2,0,0,2020-03-10
Vermont,1,0,0,2020-03-10
Virginia,7,0,0,2020-03-10
Washington,267,23,1,2020-03-10
West Virginia,0,0,0,2020-03-10
Wisconsin,3,0,1,2020-03-10
Wyoming,0,0,0,2020-03-10
Alaska,0,0,0,2020-03-11
Arizona,9,0,1,2020-03-11
Arkansas,1,0,0,2020-03-11
California,177,3,2,2020-03-11
Colorado,34,0,0,2020-03-11
Connecticut,3,0,0,2020-03-11
Delaware,1,0,0,2020-03-11
District of Columbia,10,0,0,2020-03-11
Florida,28,2,0,2020-03-11
Georgia,23,0,0,2020-03-11
Hawaii,2,0,0,2020-03-11
Idaho,0,0,0,2020-03-11
Illinois,25,0,2,2020-03-11
Indiana,11,0,0,2020-03-11
Iowa,13,0,0,2020-03-11
Kansas,1,0,0,2020-03-11
Kentucky,8,0,0,2020-03-11
Louisiana,6,0,0,2020-03-11
Maine,0,0,0,2020-03-11
Maryland,9,0,0,2020-03-11
Massachusetts,95,0,1,2020-03-11
Michigan,2,0,0,2020-03-11
Minnesota,5,0,0,2020-03-11
Mississippi,0,0,0,2020-03-11
Missouri,1,0,0,2020-03-11
Montana,1,0,0,2020-03-11
Nebraska,5,0,0,2020-03-11
Nevada,7,0,0,2020-03-11
New Hampshire,5,0,0,2020-03-11
New Jersey,23,1,0,2020-03-11
New Mexico,3,0,0,2020-03-11
New York,220,0,0,2020-03-11
North Carolina,7,0,0,2020-03-11
